"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,5.33333333333333,NA,NA
2457271,23,0.3,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,160.175,NA,NA
2457283,35,0.6,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,929.2,NA,NA
2457297,49,1.2,NA,NA,NA,NA,NA
2457329.5,81.5,NA,NA,NA,NA,NA,NA
2457337,89,NA,NA,NA,10725.8,NA,NA
2457337,89,1.925,NA,NA,NA,NA,NA
2457339.5,91.5,NA,NA,NA,NA,NA,NA
2457351,103,NA,NA,NA,16435.3,NA,NA
2457351,103,1.225,NA,NA,NA,NA,NA
2457358,110,NA,NA,NA,15045.15,NA,NA
2457358.75,110.75,NA,NA,NA,NA,NA,NA
2457358.75,110.75,1.35,NA,NA,NA,NA,NA
2457358.75,110.75,NA,NA,NA,NA,1719.3,10872.475
