"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.85,16.075,NA,NA,NA
2456520,29,NA,NA,NA,309.666666666667,NA,NA
2456525,35,NA,14.775,24.925,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,576.25,NA,NA
2456532,42,NA,17.075,42.775,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1394.65,NA,NA
2456539,49,NA,19.175,67.6,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,2561,NA,NA
2456547,56,NA,20.925,100.725,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,3222.75,NA,NA
2456548,57,2.05,NA,NA,NA,NA,NA
2456553,63,NA,22.825,130.3,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,2327.66666666667,NA,NA
2456560,70,NA,24.575,161.475,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,6337.5,NA,NA
2456562,71,2.825,NA,NA,NA,NA,NA
2456567,77,NA,25.575,178.85,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,10774.25,NA,NA
2456569,78,2.875,NA,NA,NA,NA,NA
2456574,84,NA,26.175,201.375,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,8520.5,NA,NA
2456582,91,NA,28.1,207.666666666667,NA,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,6371.5,NA,NA
2456584,93,2.925,NA,NA,NA,NA,NA
2456589,98,NA,30.2,237.9,NA,NA,NA
2456589,98,NA,NA,NA,NA,NA,NA
2456590,99,NA,NA,NA,6731.33333333333,NA,NA
2456590,99,2.8,NA,NA,NA,NA,NA
2456596,105,NA,30.825,311.925,NA,NA,NA
2456596,105,NA,NA,NA,NA,NA,NA
2456597,106,NA,NA,NA,12058.75,NA,NA
2456597,106,2.825,NA,NA,NA,NA,NA
2456603,112,NA,31.575,351.65,NA,NA,NA
2456603,112,NA,NA,NA,NA,NA,NA
2456604,113,NA,NA,NA,15670,NA,NA
2456604,113,3.125,NA,NA,NA,NA,NA
2456610,119,NA,NA,NA,NA,NA,NA
2456612,121,NA,NA,NA,19957.6666666667,NA,NA
2456612,121,1.55,NA,NA,NA,NA,NA
2456617,126,NA,NA,NA,NA,NA,NA
2456630,139,NA,NA,NA,16234.25,NA,NA
2456630,139,NA,NA,NA,NA,NA,NA
2456630,139,2.25,NA,NA,NA,NA,NA
2456630,139,NA,NA,NA,NA,665.0725,14635.0025
