"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,6.3,NA,NA
2457271,23,0.325,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,229.7,NA,NA
2457283,35,0.45,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,762.5,NA,NA
2457297,49,0.575,NA,NA,NA,NA,NA
2457314.25,66.25,NA,NA,NA,NA,NA,NA
2457324.25,76.25,NA,NA,NA,NA,NA,NA
2457337,89,NA,NA,NA,8342.3,NA,NA
2457337,89,1.725,NA,NA,NA,NA,NA
2457347.5,99.5,NA,NA,NA,13520.2,NA,NA
2457351,103,1.9,NA,NA,13036.7333333333,NA,NA
2457351.5,103.5,1.2,NA,NA,15207.3,NA,NA
2457353,105,NA,NA,NA,14545.2666666667,NA,NA
2457385,137,1.35,NA,NA,NA,NA,NA
2457348,100,NA,NA,NA,NA,2364.975,8435.8
