"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.175,12.875,NA,NA,NA
2456520,29,NA,NA,NA,237.5,NA,NA
2456525,35,NA,13.65,23.4,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,893.25,NA,NA
2456532,42,NA,15.9,44.3,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1324.475,NA,NA
2456539,49,NA,18.25,86.575,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,2750.25,NA,NA
2456547,56,NA,19.1,150.725,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,3153.75,NA,NA
2456548,57,1.625,NA,NA,NA,NA,NA
2456553,63,NA,19.175,204.475,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,3790.25,NA,NA
2456560,70,NA,19.175,201.8,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,4367,NA,NA
2456562,71,1.825,NA,NA,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,6443.25,NA,NA
2456569,78,1.825,NA,NA,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,5318,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456589,98,NA,NA,NA,NA,NA,NA
2456596,105,NA,NA,NA,NA,NA,NA
2456597,106,NA,NA,NA,8165.5,NA,NA
2456597,106,1.425,NA,NA,NA,NA,NA
2456603,112,NA,NA,NA,NA,NA,NA
2456610,119,NA,NA,NA,NA,NA,NA
2456617,126,NA,NA,NA,NA,NA,NA
2456630,139,NA,NA,NA,NA,NA,NA
2456583.5,92.5,NA,NA,NA,NA,1423.23,5885.64
