"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,5.25,NA,NA
2457271,23,0.275,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,171.9,NA,NA
2457283,35,0.533333333333333,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,1009.9,NA,NA
2457297,49,1.075,NA,NA,NA,NA,NA
2457313.25,65.25,NA,NA,NA,NA,NA,NA
2457323.25,75.25,NA,NA,NA,NA,NA,NA
2457337,89,NA,NA,NA,7979.2,NA,NA
2457337,89,1.475,NA,NA,NA,NA,NA
2457347,99,NA,NA,NA,NA,NA,NA
2457351,103,NA,NA,NA,7407.65,NA,NA
2457351,103,0.9,NA,NA,NA,NA,NA
2457360,112,NA,NA,NA,8032.275,NA,NA
2457360,112,1.025,NA,NA,NA,NA,NA
2457347,99,NA,NA,NA,NA,477.85,4565.85
