"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456520,21,NA,NA,NA,NA,NA,NA
2456522,23,NA,NA,NA,101.033333333333,NA,NA
2456523,24,NA,10.85,14.05,NA,NA,NA
2456528,29,NA,NA,NA,202.966666666667,NA,NA
2456528,29,NA,NA,NA,NA,NA,NA
2456528,29,0.8,NA,NA,NA,NA,NA
2456529,30,NA,12.75,23.875,NA,NA,NA
2456534,35,NA,NA,NA,NA,NA,NA
2456535,36,NA,NA,NA,554.975,NA,NA
2456535,36,1.05,NA,NA,NA,NA,NA
2456536,37,NA,16.1,43.175,NA,NA,NA
2456540,41,NA,NA,NA,NA,NA,NA
2456542,43,NA,NA,NA,1666.275,NA,NA
2456542,43,3.525,NA,NA,NA,NA,NA
2456543,44,NA,18.675,77.7,NA,NA,NA
2456548,49,NA,NA,NA,NA,NA,NA
2456549,50,NA,NA,NA,2873.775,NA,NA
2456549,50,2.55,NA,NA,NA,NA,NA
2456550,51,NA,20.75,119.825,NA,NA,NA
2456555,56,NA,NA,NA,NA,NA,NA
2456556,57,NA,NA,NA,5761,NA,NA
2456556,57,3.5,NA,NA,NA,NA,NA
2456557,58,NA,23.425,153.675,NA,NA,NA
2456563,64,NA,NA,NA,7336.95,NA,NA
2456563,64,NA,NA,NA,NA,NA,NA
2456563,64,4.975,NA,NA,NA,NA,NA
2456564,65,NA,25.15,249.25,NA,NA,NA
2456569,70,NA,NA,NA,NA,NA,NA
2456570,71,NA,NA,NA,9615.6,NA,NA
2456570,71,4.275,NA,NA,NA,NA,NA
2456571,72,NA,25.15,304.25,NA,NA,NA
2456576,77,NA,NA,NA,NA,NA,NA
2456577,78,NA,NA,NA,11045.625,NA,NA
2456577,78,3.175,NA,NA,NA,NA,NA
2456578,79,NA,25.15,304.75,NA,NA,NA
2456584,85,NA,NA,NA,NA,NA,NA
2456585,86,NA,NA,NA,9867.225,NA,NA
2456586,87,NA,25.15,305.875,NA,NA,NA
2456591,92,NA,NA,NA,NA,NA,NA
2456596,97,NA,NA,NA,NA,NA,NA
2456603,104,NA,NA,NA,10693.625,NA,NA
2456603,104,NA,NA,NA,NA,NA,NA
2456603,104,1.9,NA,NA,NA,NA,NA
2456603,104,NA,NA,NA,NA,2329,10430.25
