"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263,20,NA,NA,NA,NA,NA,NA
2457264,21,NA,NA,NA,23.45,NA,NA
2457264,21,0.35,NA,NA,NA,NA,NA
2457275,32,NA,NA,NA,NA,NA,NA
2457276,33,NA,NA,NA,276.575,NA,NA
2457276,33,0.525,NA,NA,NA,NA,NA
2457286,43,NA,NA,NA,676.075,NA,NA
2457286,43,0.75,NA,NA,NA,NA,NA
2457305,62,NA,NA,NA,NA,NA,NA
2457306,63,NA,NA,NA,2097.925,NA,NA
2457306,63,1.3,NA,NA,NA,NA,NA
2457331,88,NA,NA,NA,10265.1,NA,NA
2457331,88,NA,NA,NA,NA,NA,NA
2457331,88,2.075,NA,NA,NA,NA,NA
2457338,95,NA,NA,NA,17808.85,NA,NA
2457338,95,NA,NA,NA,NA,NA,NA
2457342,99,NA,NA,NA,NA,NA,NA
2457358,115,NA,NA,NA,NA,1957.625,9497.225
