"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,9.9,13.65,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,265,NA,NA
2456539,35,NA,11.425,15.475,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,331,NA,NA
2456546,42,NA,11.425,15.475,NA,NA,NA
2456547,42,NA,NA,NA,834.5,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.95,NA,NA,NA,NA,NA
2456553,49,NA,15.175,37.475,NA,NA,NA
2456554,49,NA,NA,NA,1992.25,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,17.5,56.2,NA,NA,NA
2456561,56,NA,NA,NA,2443,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,1.325,NA,NA,NA,NA,NA
2456567,63,NA,19.775,55.6,NA,NA,NA
2456568,63,NA,NA,NA,2495.5,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.975,NA,NA,NA,NA,NA
2456574,70,NA,20.925,104.25,NA,NA,NA
2456575,70,NA,NA,NA,3988.5,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,21.05,105.825,NA,NA,NA
2456582,77,NA,NA,NA,5097.75,NA,NA
2456582,77,2.425,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456589,84,NA,NA,NA,5181,NA,NA
2456589,84,2.1,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456612,107,NA,NA,NA,4975,NA,NA
2456613.5,108.5,1.3,NA,NA,NA,NA,NA
2456619.75,114.75,NA,NA,NA,NA,NA,NA
2456629.25,124.25,NA,NA,NA,NA,NA,NA
2456634.5,129.75,NA,NA,NA,NA,1034,19293
2456612,108,NA,NA,NA,NA,941,15048.5
