"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,10,11.85,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,134.75,NA,NA
2456539,35,NA,12,19.975,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,496,NA,NA
2456546,42,NA,12,21.225,NA,NA,NA
2456547,42,NA,NA,NA,740,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.8,NA,NA,NA,NA,NA
2456553,49,NA,15.475,22.475,NA,NA,NA
2456554,49,NA,NA,NA,712.75,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,17.15,32.675,NA,NA,NA
2456561,56,NA,NA,NA,1318.5,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,1.125,NA,NA,NA,NA,NA
2456567,63,NA,20.175,43.6,NA,NA,NA
2456568,63,NA,NA,NA,1555.66666666667,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.05,NA,NA,NA,NA,NA
2456574,70,NA,22.8,73.025,NA,NA,NA
2456575,70,NA,NA,NA,3032.25,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,23.2333333333333,84.6333333333333,NA,NA,NA
2456582,77,NA,NA,NA,4093.25,NA,NA
2456582,77,1.95,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456588,84,NA,23.3333333333333,99.1333333333333,NA,NA,NA
2456589,84,NA,NA,NA,3963,NA,NA
2456589,84,1.575,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456596,91,NA,NA,NA,5650.25,NA,NA
2456596,91,1.8,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456612,107,NA,NA,NA,13266,NA,NA
2456616.5,111.5,1.5,NA,NA,NA,NA,NA
2456618.75,113.75,NA,NA,NA,8742,NA,NA
2456623.5,118.5,NA,NA,NA,14669,NA,NA
2456637.75,132.75,NA,NA,NA,NA,NA,NA
2456624.75,120.5,NA,NA,NA,NA,358,13100
