"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456520,21,NA,NA,NA,NA,NA,NA
2456522,23,NA,NA,NA,45.3,NA,NA
2456523,24,NA,10.4,15.275,NA,NA,NA
2456528,29,NA,NA,NA,173.425,NA,NA
2456528,29,NA,NA,NA,NA,NA,NA
2456528,29,0.475,NA,NA,NA,NA,NA
2456529,30,NA,12.65,24.15,NA,NA,NA
2456534,35,NA,NA,NA,NA,NA,NA
2456535,36,NA,NA,NA,760.125,NA,NA
2456535,36,0.825,NA,NA,NA,NA,NA
2456536,37,NA,15.5,38.825,NA,NA,NA
2456540,41,NA,NA,NA,NA,NA,NA
2456542,43,NA,NA,NA,1196.4,NA,NA
2456542,43,1.6,NA,NA,NA,NA,NA
2456543,44,NA,17.4,59,NA,NA,NA
2456548,49,NA,NA,NA,NA,NA,NA
2456549,50,NA,NA,NA,2017.4,NA,NA
2456549,50,2.075,NA,NA,NA,NA,NA
2456550,51,NA,19.825,79.25,NA,NA,NA
2456555,56,NA,NA,NA,NA,NA,NA
2456556,57,NA,NA,NA,3849.95,NA,NA
2456556,57,2.325,NA,NA,NA,NA,NA
2456557,58,NA,22.075,101.25,NA,NA,NA
2456563,64,NA,NA,NA,6550.35,NA,NA
2456563,64,NA,NA,NA,NA,NA,NA
2456563,64,3.225,NA,NA,NA,NA,NA
2456564,65,NA,23.25,143.725,NA,NA,NA
2456568.5,69.5,NA,NA,NA,NA,NA,NA
2456569.75,70.75,NA,NA,NA,8793.9,NA,NA
2456570,71,3.93333333333333,NA,NA,7315.1,NA,NA
2456570.75,71.75,2.6,23.6666666666667,183.5,NA,NA,NA
2456574.75,75.75,NA,25.5,209,NA,NA,NA
2456576.75,77.75,NA,NA,NA,9342.36666666667,NA,NA
2456577,78,2.93333333333333,NA,NA,7627.9,NA,NA
2456577.75,78.75,4.1,23.6666666666667,183.833333333333,NA,NA,NA
2456582.5,83.5,NA,25.5,211,NA,NA,NA
2456584.75,85.75,NA,NA,NA,9428.86666666667,NA,NA
2456585.75,86.75,NA,23.6666666666667,184.4,7547.9,NA,NA
2456589.75,90.75,NA,25.5,212,NA,NA,NA
2456594.75,95.75,NA,NA,NA,NA,NA,NA
2456597.5,98.5,NA,NA,NA,11401.4333333333,NA,NA
2456598,99,NA,NA,NA,14645.5,NA,NA
2456598,99,1.3,NA,NA,NA,NA,NA
2456601.75,102.75,2.1,NA,NA,NA,NA,NA
2456599.25,100.25,NA,NA,NA,NA,2418,8066.33333333333
