"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263,20,NA,NA,NA,NA,NA,NA
2457264,21,NA,NA,NA,21.5333333333333,NA,NA
2457264,21,0.375,NA,NA,NA,NA,NA
2457275,32,NA,NA,NA,NA,NA,NA
2457276,33,NA,NA,NA,184.9,NA,NA
2457276,33,0.575,NA,NA,NA,NA,NA
2457286,43,NA,NA,NA,773.95,NA,NA
2457286,43,1.1,NA,NA,NA,NA,NA
2457305,62,NA,NA,NA,NA,NA,NA
2457306,63,NA,NA,NA,2162.1,NA,NA
2457306,63,NA,NA,NA,NA,NA,NA
2457325,82,NA,NA,NA,NA,NA,NA
2457326,83,NA,NA,NA,8809.4,NA,NA
2457326,83,1.85,NA,NA,NA,NA,NA
2457336,93,NA,NA,NA,NA,NA,NA
2457338,95,NA,NA,NA,12312.425,NA,NA
2457338,95,NA,NA,NA,NA,NA,NA
2457354,111,NA,NA,NA,NA,1871.225,9367.55
