"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,10.4,13.475,NA,NA,NA
2456520,29,NA,NA,NA,171.333333333333,NA,NA
2456525,35,NA,13.15,19.975,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,430.666666666667,NA,NA
2456532,42,NA,15.175,28.9,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,700,NA,NA
2456539,49,NA,17.075,39.225,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,1520,NA,NA
2456547,56,NA,19.025,52.725,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,2338,NA,NA
2456548,57,1.35,NA,NA,NA,NA,NA
2456553,63,NA,19.925,72.325,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,2585.66666666667,NA,NA
2456560,70,NA,20.675,83.55,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,2589.5,NA,NA
2456562,71,1.75,NA,NA,NA,NA,NA
2456567,77,NA,20.675,90.75,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,4300.33333333333,NA,NA
2456569,78,1.85,NA,NA,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,4361.33333333333,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456587.75,96.75,1.6,NA,NA,NA,NA,NA
2456594.25,103.25,NA,NA,NA,NA,NA,NA
2456596.75,105.75,NA,NA,NA,6938,NA,NA
2456597,106,1.43333333333333,NA,NA,4841,NA,NA
2456601.5,110.5,1,NA,NA,NA,NA,NA
2456608.25,117.25,NA,NA,NA,NA,NA,NA
2456615.25,124.25,NA,NA,NA,NA,NA,NA
2456626.75,135.75,NA,NA,NA,NA,NA,NA
2456603.75,112.75,NA,NA,NA,NA,1365.91666666667,5953.82
2456597,106,NA,NA,NA,NA,1368.76,6092.54
