"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.65,15.575,NA,NA,NA
2456520,29,NA,NA,NA,283.666666666667,NA,NA
2456525,35,NA,14.75,24,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,372.25,NA,NA
2456532,42,NA,17.025,32.6,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1290.425,NA,NA
2456539,49,NA,18.85,42.975,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,2514.5,NA,NA
2456547,56,NA,20.675,57.625,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,3206.25,NA,NA
2456548,57,2.15,NA,NA,NA,NA,NA
2456553,63,NA,22.675,70,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,3258.5,NA,NA
2456560,70,NA,25.475,83.025,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,3777,NA,NA
2456562,71,2.05,NA,NA,NA,NA,NA
2456567,77,NA,26.95,101.875,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,5553.5,NA,NA
2456569,78,2.95,NA,NA,NA,NA,NA
2456574,84,NA,26.25,125.425,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,7714.25,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,7519.5,NA,NA
2456584,93,3.45,NA,NA,NA,NA,NA
2456589,98,NA,NA,NA,NA,NA,NA
2456596,105,NA,NA,NA,NA,NA,NA
2456603,112,NA,NA,NA,NA,NA,NA
2456610,119,NA,NA,NA,NA,NA,NA
2456612,121,NA,NA,NA,11158.75,NA,NA
2456612,121,1.95,NA,NA,NA,NA,NA
2456617,126,NA,NA,NA,NA,NA,NA
2456630,139,NA,NA,NA,NA,NA,NA
2456609.5,118.5,NA,NA,NA,NA,887.56,12025.805
