"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263,20,NA,NA,NA,NA,NA,NA
2457264,21,NA,NA,NA,10.4,NA,NA
2457264,21,0.35,NA,NA,NA,NA,NA
2457275,32,NA,NA,NA,NA,NA,NA
2457276,33,NA,NA,NA,223.45,NA,NA
2457276,33,0.625,NA,NA,NA,NA,NA
2457286,43,NA,NA,NA,702.575,NA,NA
2457286,43,0.95,NA,NA,NA,NA,NA
2457305,62,NA,NA,NA,NA,NA,NA
2457306,63,NA,NA,NA,1621.325,NA,NA
2457306,63,0.3,NA,NA,NA,NA,NA
2457322,79,NA,NA,NA,5003.125,NA,NA
2457322,79,NA,NA,NA,NA,NA,NA
2457322,79,1.45,NA,NA,NA,NA,NA
2457325,82,NA,NA,NA,7165.45,NA,NA
2457325,82,NA,NA,NA,NA,NA,NA
2457336.5,93.5,NA,NA,NA,NA,NA,NA
2457354,111,NA,NA,NA,NA,881.2,6972.85
