"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,6.3,NA,NA
2457271,23,0.3,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,118.75,NA,NA
2457283,35,0.433333333333333,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,963.55,NA,NA
2457297,49,0.65,NA,NA,NA,NA,NA
2457326.25,78.25,NA,NA,NA,NA,NA,NA
2457333.5,85.5,NA,NA,NA,6809.4,NA,NA
2457337,89,1.25,NA,NA,7966.75,NA,NA
2457339.75,91.75,2.35,NA,NA,NA,NA,NA
2457350,102,NA,NA,NA,8297.3,NA,NA
2457351,103,1.2,NA,NA,9041,NA,NA
2457356,108,1.2,NA,NA,NA,NA,NA
2457359,111,1.03333333333333,NA,NA,6383.3,NA,NA
2457363,115,1.3,NA,NA,7009.03333333333,NA,NA
2457355,107,NA,NA,NA,NA,1706.525,7214.525
