"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.175,16.025,NA,NA,NA
2456520,29,NA,NA,NA,111.75,NA,NA
2456525,35,NA,14.35,26.425,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,961.75,NA,NA
2456532,42,NA,16.75,41.85,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1387.2,NA,NA
2456539,49,NA,19.075,61.375,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,1708.33333333333,NA,NA
2456547,56,NA,21.325,79.95,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,3469,NA,NA
2456548,57,2.325,NA,NA,NA,NA,NA
2456553,63,NA,23.25,82.475,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,2157.66666666667,NA,NA
2456560,70,NA,24.1,128.35,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,5798.25,NA,NA
2456562,71,2.825,NA,NA,NA,NA,NA
2456567,77,NA,24.425,150.1,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,4716.5,NA,NA
2456569,78,3.025,NA,NA,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,4602.33333333333,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,7347,NA,NA
2456586.5,95.5,1.95,NA,NA,NA,NA,NA
2456592.5,101.5,NA,NA,NA,NA,NA,NA
2456596.5,105.5,NA,NA,NA,8131.5,NA,NA
2456597,106,1.75,NA,NA,12570,NA,NA
2456600,109,2.2,NA,NA,NA,NA,NA
2456606.5,115.5,NA,NA,NA,NA,NA,NA
2456613.5,122.5,NA,NA,NA,NA,NA,NA
2456623.5,132.5,NA,NA,NA,NA,NA,NA
2456613.5,122.5,NA,NA,NA,NA,485.075,5615.95
