"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263,20,NA,NA,NA,NA,NA,NA
2457264,21,NA,NA,NA,26.05,NA,NA
2457264,21,0.325,NA,NA,NA,NA,NA
2457275,32,NA,NA,NA,NA,NA,NA
2457276,33,NA,NA,NA,161.475,NA,NA
2457276,33,0.425,NA,NA,NA,NA,NA
2457286,43,NA,NA,NA,481.25,NA,NA
2457286,43,0.525,NA,NA,NA,NA,NA
2457305,62,NA,NA,NA,NA,NA,NA
2457306,63,NA,NA,NA,1690.125,NA,NA
2457306,63,0.1,NA,NA,NA,NA,NA
2457325,82,NA,NA,NA,NA,NA,NA
2457326,83,NA,NA,NA,5222,NA,NA
2457326,83,1.175,NA,NA,NA,NA,NA
2457336,93,NA,NA,NA,NA,NA,NA
2457338,95,NA,NA,NA,5552.6,NA,NA
2457338,95,NA,NA,NA,NA,NA,NA
2457361.75,118.75,NA,NA,NA,NA,571.825,4414.475
