"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.175,17.85,NA,NA,NA
2456520,29,NA,NA,NA,280.333333333333,NA,NA
2456525,35,NA,14.35,29.75,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,798.333333333333,NA,NA
2456532,42,NA,16.6,44.6,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1418.5,NA,NA
2456539,49,NA,18.575,57.675,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,2591.33333333333,NA,NA
2456547,56,NA,20.5,70.425,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,3001.75,NA,NA
2456548,57,1.6,NA,NA,NA,NA,NA
2456553,63,NA,22.25,87.725,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,4509.66666666667,NA,NA
2456560,70,NA,23.425,112.55,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,4737.5,NA,NA
2456562,71,2.6,NA,NA,NA,NA,NA
2456567,77,NA,24,110.525,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,5480.33333333333,NA,NA
2456569,78,3.15,NA,NA,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,6201.75,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,6815.5,NA,NA
2456586.5,95.5,1.65,NA,NA,NA,NA,NA
2456592.5,101.5,NA,NA,NA,NA,NA,NA
2456596.5,105.5,NA,NA,NA,9398,NA,NA
2456597,106,3.4,NA,NA,9106,NA,NA
2456600,109,1.4,NA,NA,NA,NA,NA
2456606.5,115.5,NA,NA,NA,NA,NA,NA
2456613.5,122.5,NA,NA,NA,NA,NA,NA
2456623.5,132.5,NA,NA,NA,NA,NA,NA
2456613.5,122.5,NA,NA,NA,NA,2706.96,14304.635
2456606.5,115.5,NA,NA,NA,NA,1314.82,7952.71
