"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,4.2,NA,NA
2457271,23,0.225,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,62.5,NA,NA
2457283,35,0.4,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,1068.8,NA,NA
2457297,49,0.8,NA,NA,NA,NA,NA
2457319.75,71.75,NA,NA,NA,NA,NA,NA
2457329.75,81.75,NA,NA,NA,NA,NA,NA
2457337,89,NA,NA,NA,8191.325,NA,NA
2457337,89,1.4,NA,NA,NA,NA,NA
2457351,103,NA,NA,NA,12788.025,NA,NA
2457351,103,1.15,NA,NA,NA,NA,NA
2457356.5,108.5,NA,NA,NA,6125,NA,NA
2457358,110,1.35,NA,NA,5841.7,NA,NA
2457367,119,1.3,NA,NA,8833.35,NA,NA
2457356.5,108.5,NA,NA,NA,NA,2823.675,8969.775
