"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456520,21,NA,NA,NA,NA,NA,NA
2456522,23,NA,NA,NA,58.875,NA,NA
2456523,24,NA,10.675,12.675,NA,NA,NA
2456528,29,NA,NA,NA,224.55,NA,NA
2456528,29,NA,NA,NA,NA,NA,NA
2456528,29,0.675,NA,NA,NA,NA,NA
2456529,30,NA,13,20.925,NA,NA,NA
2456534,35,NA,NA,NA,NA,NA,NA
2456535,36,NA,NA,NA,601.175,NA,NA
2456535,36,1.475,NA,NA,NA,NA,NA
2456536,37,NA,15.725,46.875,NA,NA,NA
2456540,41,NA,NA,NA,NA,NA,NA
2456542,43,NA,NA,NA,1186.8,NA,NA
2456542,43,2.1,NA,NA,NA,NA,NA
2456543,44,NA,18.025,79.625,NA,NA,NA
2456548,49,NA,NA,NA,NA,NA,NA
2456549,50,NA,NA,NA,2036.475,NA,NA
2456549,50,2.05,NA,NA,NA,NA,NA
2456550,51,NA,20,120.95,NA,NA,NA
2456555,56,NA,NA,NA,NA,NA,NA
2456556,57,NA,NA,NA,3728.2,NA,NA
2456556,57,2.45,NA,NA,NA,NA,NA
2456557,58,NA,21.775,202.625,NA,NA,NA
2456563,64,NA,NA,NA,7080.5,NA,NA
2456563,64,NA,NA,NA,NA,NA,NA
2456563,64,3.15,NA,NA,NA,NA,NA
2456564,65,NA,22.95,320.25,NA,NA,NA
2456567,68,NA,NA,NA,NA,NA,NA
2456569,70,NA,NA,NA,NA,NA,NA
2456570,71,NA,NA,NA,8325.95,NA,NA
2456570,71,3.325,NA,NA,NA,NA,NA
2456571,72,NA,23.025,354.425,NA,NA,NA
2456576,77,NA,NA,NA,NA,NA,NA
2456577,78,NA,NA,NA,8157.6,NA,NA
2456577,78,2.525,NA,NA,NA,NA,NA
2456578,79,NA,23.1,355.75,NA,NA,NA
2456584,85,NA,NA,NA,NA,NA,NA
2456586,87,NA,22.875,353.125,NA,NA,NA
2456591,92,NA,NA,NA,NA,NA,NA
2456596,97,NA,NA,NA,NA,NA,NA
2456598,99,NA,NA,NA,12042.2,NA,NA
2456598,99,2,NA,NA,NA,NA,NA
2456603,104,NA,NA,NA,NA,NA,NA
2456598,99,NA,NA,NA,NA,2111,9670
