"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456533,22,NA,NA,NA,85.5,NA,NA
2456533,22,NA,NA,NA,NA,NA,NA
2456533,22,0.15,NA,NA,NA,NA,NA
2456537,26,NA,10.675,17.525,NA,NA,NA
2456539,28,NA,NA,NA,NA,NA,NA
2456540,29,NA,NA,NA,246.7,NA,NA
2456540,29,0.8,NA,NA,NA,NA,NA
2456543,31,NA,12.675,25.7,NA,NA,NA
2456546,35,NA,NA,NA,NA,NA,NA
2456547,36,NA,NA,NA,697.675,NA,NA
2456547,36,1.2,NA,NA,NA,NA,NA
2456550,39,NA,17,70.65,NA,NA,NA
2456553,42,NA,NA,NA,1734.55,NA,NA
2456553,42,NA,NA,NA,NA,NA,NA
2456553,42,2.15,NA,NA,NA,NA,NA
2456557,45,NA,18.1,134.5,NA,NA,NA
2456560,49,NA,NA,NA,NA,NA,NA
2456561,50,NA,NA,NA,2580.5,NA,NA
2456561,50,2.225,NA,NA,NA,NA,NA
2456564,53,NA,20.025,189.65,NA,NA,NA
2456567,56,NA,NA,NA,NA,NA,NA
2456568,57,NA,NA,NA,4696.775,NA,NA
2456568,57,2.9,NA,NA,NA,NA,NA
2456571,60,NA,20.175,296.3,NA,NA,NA
2456574,63,NA,NA,NA,NA,NA,NA
2456575,64,NA,NA,NA,6755.575,NA,NA
2456575,64,2.725,NA,NA,NA,NA,NA
2456578,67,NA,20.325,326.675,NA,NA,NA
2456580,69,NA,NA,NA,NA,NA,NA
2456581,70,NA,NA,NA,6867.5,NA,NA
2456581,70,2.575,NA,NA,NA,NA,NA
2456586,75,NA,20.325,326.375,NA,NA,NA
2456588,77,NA,NA,NA,NA,NA,NA
2456593,82,NA,20.075,326.475,NA,NA,NA
2456595,84,NA,NA,NA,NA,NA,NA
2456601,90,NA,NA,NA,8163.075,NA,NA
2456601,90,NA,NA,NA,NA,NA,NA
2456601,90,1.85,NA,NA,NA,NA,NA
2456601,90,NA,NA,NA,NA,1785.75,8234
