"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,10.075,11.975,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,95,NA,NA
2456539,35,NA,12.175,16.825,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,310.5,NA,NA
2456546,42,NA,12.175,16.825,NA,NA,NA
2456547,42,NA,NA,NA,468.75,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.2,NA,NA,NA,NA,NA
2456553,49,NA,15.425,42.025,NA,NA,NA
2456554,49,NA,NA,NA,1476.66666666667,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,16.5,97.8,NA,NA,NA
2456561,56,NA,NA,NA,1595.25,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,0.925,NA,NA,NA,NA,NA
2456567,63,NA,18.6,103.525,NA,NA,NA
2456568,63,NA,NA,NA,781.5,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.05,NA,NA,NA,NA,NA
2456575,70,NA,NA,NA,2323.75,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456596,91,NA,NA,NA,1961.75,NA,NA
2456596,91,0.825,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456618,113,NA,NA,NA,NA,NA,NA
2456625,120,NA,NA,NA,NA,NA,NA
2456642,137,NA,NA,NA,NA,NA,NA
2456596,92,NA,NA,NA,NA,346.25,4457.25
