"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,10.1,13.675,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,128.666666666667,NA,NA
2456539,35,NA,11.575,16.775,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,191.666666666667,NA,NA
2456546,42,NA,11.575,16.775,NA,NA,NA
2456547,42,NA,NA,NA,405.75,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.325,NA,NA,NA,NA,NA
2456553,49,NA,15.075,28.5,NA,NA,NA
2456554,49,NA,NA,NA,797,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,17.4,41.625,NA,NA,NA
2456561,56,NA,NA,NA,1027.5,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,0.75,NA,NA,NA,NA,NA
2456567,63,NA,19.425,45.4,NA,NA,NA
2456568,63,NA,NA,NA,1053.5,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,0.65,NA,NA,NA,NA,NA
2456574,70,NA,19.85,73.025,NA,NA,NA
2456575,70,NA,NA,NA,1796.33333333333,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,20.425,81.75,NA,NA,NA
2456582,77,NA,NA,NA,6347.66666666667,NA,NA
2456582,77,1.825,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456589,84,NA,NA,NA,3639.75,NA,NA
2456589,84,1.4,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456612,107,NA,NA,NA,6465.75,NA,NA
2456612,107,1.45,NA,NA,NA,NA,NA
2456618,113,NA,NA,NA,NA,NA,NA
2456625,120,NA,NA,NA,NA,NA,NA
2456642,137,NA,NA,NA,NA,NA,NA
2456611.25,107.25,NA,NA,NA,NA,491.25,7806.75
