"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456533,22,NA,NA,NA,67.6,NA,NA
2456533,22,NA,NA,NA,NA,NA,NA
2456533,22,0.325,NA,NA,NA,NA,NA
2456537,26,NA,9.925,15.15,NA,NA,NA
2456539,28,NA,NA,NA,NA,NA,NA
2456540,29,NA,NA,NA,234.833333333333,NA,NA
2456540,29,0.475,NA,NA,NA,NA,NA
2456543,31,NA,11.925,21.05,NA,NA,NA
2456546,35,NA,NA,NA,NA,NA,NA
2456547,36,NA,NA,NA,879.575,NA,NA
2456547,36,1.3,NA,NA,NA,NA,NA
2456550,39,NA,15.1,45.825,NA,NA,NA
2456553,42,NA,NA,NA,2300.475,NA,NA
2456553,42,NA,NA,NA,NA,NA,NA
2456553,42,2.025,NA,NA,NA,NA,NA
2456557,45,NA,17.75,82.5,NA,NA,NA
2456560,49,NA,NA,NA,NA,NA,NA
2456561,50,NA,NA,NA,3924.125,NA,NA
2456561,50,2.3,NA,NA,NA,NA,NA
2456564,53,NA,20.175,129.775,NA,NA,NA
2456567,56,NA,NA,NA,NA,NA,NA
2456568,57,NA,NA,NA,4802.45,NA,NA
2456568,57,2.525,NA,NA,NA,NA,NA
2456571,60,NA,20.75,182.05,NA,NA,NA
2456574,63,NA,NA,NA,NA,NA,NA
2456575,64,NA,NA,NA,6775.725,NA,NA
2456575,64,3.375,NA,NA,NA,NA,NA
2456578,67,NA,20.65,246.95,NA,NA,NA
2456580,69,NA,NA,NA,NA,NA,NA
2456581,70,NA,NA,NA,8750.15,NA,NA
2456581,70,3.725,NA,NA,NA,NA,NA
2456586,75,NA,21,248.95,NA,NA,NA
2456588,77,NA,NA,NA,NA,NA,NA
2456590,79,NA,NA,NA,10132.9,NA,NA
2456593,82,NA,21,249.575,NA,NA,NA
2456595,84,NA,NA,NA,NA,NA,NA
2456606,95,NA,NA,NA,9944.1,NA,NA
2456606,95,NA,NA,NA,NA,NA,NA
2456606,95,1.4,NA,NA,NA,NA,NA
2456606,95,NA,NA,NA,NA,1854.5,7980.75
