"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,10.075,12.9,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,230.5,NA,NA
2456539,35,NA,12.25,18.55,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,431.25,NA,NA
2456546,42,NA,12.25,18.55,NA,NA,NA
2456547,42,NA,NA,NA,776.333333333333,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.725,NA,NA,NA,NA,NA
2456553,49,NA,15.975,29.7,NA,NA,NA
2456554,49,NA,NA,NA,1380.75,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,18.75,43.65,NA,NA,NA
2456561,56,NA,NA,NA,953.25,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,1.05,NA,NA,NA,NA,NA
2456567,63,NA,19.2,50.95,NA,NA,NA
2456568,63,NA,NA,NA,1891.5,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.7,NA,NA,NA,NA,NA
2456574,70,NA,21.575,69.95,NA,NA,NA
2456575,70,NA,NA,NA,3674.5,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,20.9,101.125,NA,NA,NA
2456582,77,NA,NA,NA,4755.75,NA,NA
2456582.25,77.25,2.56666666666667,NA,NA,NA,NA,NA
2456584.25,79.25,1,NA,NA,6803,NA,NA
2456587.5,82.5,1.9,NA,NA,4058,NA,NA
2456589.25,84.25,1.2,NA,NA,4466,NA,NA
2456591.5,86.5,2.1,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456609.5,104.5,NA,NA,NA,8881,NA,NA
2456611.75,106.75,1.1,NA,NA,5803,NA,NA
2456613.5,108.5,1.55,NA,NA,7391,NA,NA
2456618.25,113.25,1.7,NA,NA,NA,NA,NA
2456627.5,122.5,NA,NA,NA,NA,NA,NA
2456629,124.25,NA,NA,NA,NA,NA,NA
2456622,117.666666666667,NA,NA,NA,NA,522,8991.5
2456611,107,NA,NA,NA,NA,616,9487
