"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,11.1,13.65,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,116.666666666667,NA,NA
2456539,35,NA,13.1,20.3,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,373.25,NA,NA
2456546,42,NA,13.1,20.3,NA,NA,NA
2456547,42,NA,NA,NA,577.5,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.65,NA,NA,NA,NA,NA
2456553,49,NA,16.5,29.9,NA,NA,NA
2456554,49,NA,NA,NA,553,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,19.075,59.35,NA,NA,NA
2456561,56,NA,NA,NA,1539,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,1.15,NA,NA,NA,NA,NA
2456567,63,NA,19.6,105.5,NA,NA,NA
2456568,63,NA,NA,NA,1810.5,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.75,NA,NA,NA,NA,NA
2456574,70,NA,21.25,134.075,NA,NA,NA
2456575,70,NA,NA,NA,3861.75,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,21.4,185.75,NA,NA,NA
2456582,77,NA,NA,NA,3696.75,NA,NA
2456582,77,1.6,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456589,84,NA,NA,NA,5804.25,NA,NA
2456589,84,1.45,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456612,107,NA,NA,NA,7263.25,NA,NA
2456612,107,0.925,NA,NA,NA,NA,NA
2456618,113,NA,NA,NA,NA,NA,NA
2456625,120,NA,NA,NA,NA,NA,NA
2456642,137,NA,NA,NA,NA,NA,NA
2456612,108,NA,NA,NA,NA,624.5,9155.75
