"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,7.8,NA,NA
2457271,23,0.25,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,256.25,NA,NA
2457283,35,0.5,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,609.925,NA,NA
2457297,49,0.675,NA,NA,NA,NA,NA
2457324.75,76.75,NA,NA,NA,NA,NA,NA
2457334.75,86.75,NA,NA,NA,NA,NA,NA
2457337,89,NA,NA,NA,10992.7,NA,NA
2457337,89,1.7,NA,NA,NA,NA,NA
2457351,103,NA,NA,NA,13499,NA,NA
2457351,103,1.25,NA,NA,NA,NA,NA
2457357,109,NA,NA,NA,5479.2,NA,NA
2457357,109,1.4,NA,NA,NA,NA,NA
2457363,115,0.9,NA,NA,11177.9333333333,NA,NA
2457357,109,NA,NA,NA,NA,1796.25,9635.275
