"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456532,28,NA,10.925,16.125,NA,NA,NA
2456533,28,NA,NA,NA,NA,NA,NA
2456534,29,NA,NA,NA,183.75,NA,NA
2456539,35,NA,12.25,18.175,NA,NA,NA
2456540,35,NA,NA,NA,NA,NA,NA
2456541,36,NA,NA,NA,510.75,NA,NA
2456546,42,NA,12.25,18.175,NA,NA,NA
2456547,42,NA,NA,NA,456.5,NA,NA
2456547,42,NA,NA,NA,NA,NA,NA
2456547,42,0.475,NA,NA,NA,NA,NA
2456553,49,NA,16.5,28.9,NA,NA,NA
2456554,49,NA,NA,NA,1231.66666666667,NA,NA
2456554,49,NA,NA,NA,NA,NA,NA
2456560,56,NA,19.05,48.925,NA,NA,NA
2456561,56,NA,NA,NA,2274.5,NA,NA
2456561,56,NA,NA,NA,NA,NA,NA
2456561,56,1.45,NA,NA,NA,NA,NA
2456567,63,NA,20.475,60,NA,NA,NA
2456568,63,NA,NA,NA,1824.25,NA,NA
2456568,63,NA,NA,NA,NA,NA,NA
2456568,63,1.775,NA,NA,NA,NA,NA
2456574,70,NA,22.5,96.675,NA,NA,NA
2456575,70,NA,NA,NA,3248,NA,NA
2456576,71,NA,NA,NA,NA,NA,NA
2456581,77,NA,25.45,143.475,NA,NA,NA
2456582,77,NA,NA,NA,6019.75,NA,NA
2456582,77,2.5,NA,NA,NA,NA,NA
2456583,78,NA,NA,NA,NA,NA,NA
2456588,84,NA,28.75,191.05,NA,NA,NA
2456589,84,NA,NA,NA,4921,NA,NA
2456589,84,2.35,NA,NA,NA,NA,NA
2456590,85,NA,NA,NA,NA,NA,NA
2456595,91,NA,29.675,245.775,NA,NA,NA
2456596,91,NA,NA,NA,6251,NA,NA
2456596,91,1.45,NA,NA,NA,NA,NA
2456597,92,NA,NA,NA,NA,NA,NA
2456602,98,NA,29.825,302.1,NA,NA,NA
2456603,98,NA,NA,NA,5940.5,NA,NA
2456603,98,1.875,NA,NA,NA,NA,NA
2456604,99,NA,NA,NA,NA,NA,NA
2456611,106,NA,NA,NA,NA,NA,NA
2456612,107,NA,NA,NA,6093,NA,NA
2456612,107,1.9,NA,NA,NA,NA,NA
2456618,113,NA,NA,NA,NA,NA,NA
2456625,120,NA,NA,NA,NA,NA,NA
2456642,137,NA,NA,NA,NA,NA,NA
2456643,138,NA,NA,NA,12688.75,NA,NA
2456643,138,1.375,NA,NA,NA,NA,NA
2456630,126,NA,NA,NA,NA,554,18261.25
